Correction tenant_id optional - Wed Oct  8 20:33:29 UTC 2025
Fix: Suppression compte - endpoint tenant-aware - Wed Oct  8 22:40:46 UTC 2025
Amélioration: Email de bienvenue - Instructions changement mot de passe - Wed Oct  8 22:50:50 UTC 2025
Fix global: tenant_id Optional dans tous les modèles *Create - Wed Oct  8 23:00:28 UTC 2025
Amélioration: Email avec URL caserne spécifique - Wed Oct  8 23:06:05 UTC 2025
Amélioration Planning: Ratio X/Y + noms visibles - Wed Oct  8 23:19:46 UTC 2025
Fonctionnalités complètes: Planning ratio+noms, Anti-double-affectation, Notification planning validé - Wed Oct  8 23:41:32 UTC 2025
Super Admin: Date création modifiable, Compteur personnel + paliers + limites avec blocage - Thu Oct  9 00:00:50 UTC 2025
Fix: SyntaxError double except dans send_gardes_notification_email - Thu Oct  9 00:04:49 UTC 2025
Fix CRITIQUE: SyntaxError double try imbriqués dans send_welcome_email + update_tenant date_creation - Thu Oct  9 00:17:56 UTC 2025
Logo officiel ProFireManager intégré (#D9072B) + Super-admin réinitialisé - Thu Oct  9 00:33:49 UTC 2025
